title,company,location,min_amount,max_amount,interval,job_url,description,scraped_date,search_query,application_status,notes,noc_code_guess,bcpnp_tech_eligible
Senior Data Scientist,Lululemon,"Vancouver, BC",130000,170000,yearly,https://linkedin.com/jobs/1001,machine learning python sql tensorflow a/b testing causal inference statistical modeling time series deep learning pandas numpy scikit-learn recommendation system segmentation stakeholder communication cross-functional 5+ years of experience master's computer science statistics,2026-02-13,data scientist,New,,21211 (Data Scientists),✅ Yes
"Data Scientist, Product Analytics",Hootsuite,"Vancouver, BC",110000,145000,yearly,https://linkedin.com/jobs/1002,python sql a/b testing hypothesis testing regression clustering machine learning product analytics segmentation kpi metrics pandas scikit-learn tableau stakeholder communication 3+ years experience master statistics,2026-02-13,data scientist,New,,21211 (Data Scientists),✅ Yes
Machine Learning Engineer,Amazon,"Vancouver, BC",150000,210000,yearly,https://amazon.jobs/1003,machine learning deep learning python pytorch tensorflow nlp aws sagemaker docker kubernetes ci/cd data pipeline reinforcement learning 5+ years experience master computer science,2026-02-13,AI consultant,New,,21211 (Data Scientists),✅ Yes
AI/ML Consultant,Deloitte,"Vancouver, BC",95000,140000,yearly,https://linkedin.com/jobs/1004,machine learning ai consulting python sql stakeholder project management nlp rag generative ai llm strategy cross-functional communication 5+ years experience,2026-02-13,ML engineer,New,,,
Data Scientist,TELUS,"Vancouver, BC",95000,130000,yearly,https://linkedin.com/jobs/1005,python sql r machine learning statistical modeling regression time series a/b testing data visualization pandas scikit-learn communication stakeholder 3+ years experience bachelor statistics mathematics,2026-02-13,ML engineer,New,,21211 (Data Scientists),✅ Yes
Senior Product Analyst,Clio,"Vancouver, BC",105000,135000,yearly,https://linkedin.com/jobs/1006,sql python product analytics a/b testing hypothesis testing segmentation funnel analysis cohort analysis retention churn ltv metrics kpi tableau looker stakeholder cross-functional 4+ years experience,2026-02-13,ML engineer,New,,21221 (Business Systems Specialists),✅ Yes
Data Analyst,BC Hydro,"Vancouver, BC",80000,100000,yearly,https://linkedin.com/jobs/1007,sql python data analysis data visualization tableau power bi excel statistical analysis regression hypothesis testing stakeholder communication 2+ years experience bachelor statistics,2026-02-13,data scientist,New,,21223 (Database Analysts),✅ Yes
Applied Scientist,Microsoft,"Vancouver, BC",140000,195000,yearly,https://linkedin.com/jobs/1008,machine learning deep learning nlp python pytorch tensorflow research statistical modeling neural network transformer bert gpt recommendation system 5+ years experience phd computer science,2026-02-13,data analyst,New,,21211 (Data Scientists),✅ Yes
Data Scientist - Cybersecurity,Fortinet,"Burnaby, BC",110000,150000,yearly,https://linkedin.com/jobs/1009,cybersecurity machine learning python anomaly detection classification deep learning data pipeline sql network security threat detection 3+ years experience bachelor computer science,2026-02-13,data scientist,New,,21211 (Data Scientists),✅ Yes
Quantitative Analyst,RBC,"Vancouver, BC",100000,140000,yearly,https://linkedin.com/jobs/1010,python r sql statistical modeling time series regression machine learning quantitative analysis risk modeling financial data pandas numpy 5+ years experience master mathematics statistics,2026-02-13,data analyst,New,,21211 (Data Scientists),✅ Yes
